title,year,cast,genres,extract,url,release_date,critic_score,audience_score,cast_size,cast_group
badboysforlife,2020,"Will Smith, Martin Lawrence, Vanessa Hudgens, Alexander Ludwig, Charles Melton, Paola Núñez, Kate del Castillo, Nicky Jam, Joe Pantoliano","['Action', 'Comedy']","Bad Boys for Life is a 2020 American buddy cop action comedy film directed by Adil & Bilall. It is the sequel to Bad Boys II (2003) and the third installment in the Bad Boys franchise. Will Smith, Martin Lawrence, Joe Pantoliano and Theresa Randle reprise their roles in the film and are joined by Paola Núñez, Vanessa Hudgens, Jacob Scipio, Alexander Ludwig, Charles Melton, Kate del Castillo and Nicky Jam. The film was produced by Smith, Jerry Bruckheimer, and Doug Belgrad, with a screenplay written by Chris Bremner, Peter Craig and Joe Carnahan. In Bad Boys for Life, Miami detectives Mike Lowrey and Marcus Burnett investigate a string of murders tied to Lowrey's troubled past.",https://www.rottentomatoes.com/m/bad_boys_for_life,"Released Jan 17, 2020",75.0,96.0,9,Medium
dolittle,2020,"Robert Downey Jr., Antonio Banderas, Michael Sheen, Emma Thompson, Rami Malek, John Cena, Kumail Nanjiani, Octavia Spencer, Tom Holland, Craig Robinson, Ralph Fiennes, Selena Gomez, Marion Cotillard","['Adventure', 'Fantasy']","Dolittle is a 2020 American fantasy adventure film directed by Stephen Gaghan from a screenplay by Gaghan, Dan Gregor, and Doug Mand, based on a story by Thomas Shepherd. Dolittle is based on the title character created by Hugh Lofting and is primarily inspired by the author's second Doctor Dolittle book, The Voyages of Doctor Dolittle (1922). Robert Downey Jr. stars as the title character, alongside Antonio Banderas and Michael Sheen in live-action roles, with Emma Thompson, Rami Malek, John Cena, Kumail Nanjiani, Octavia Spencer, Tom Holland, Craig Robinson, Ralph Fiennes, Selena Gomez, and Marion Cotillard voicing an array of creatures.",https://www.rottentomatoes.com/m/dolittle,"Released Jan 17, 2020",15.0,76.0,13,Medium
dolittle,2020,"Robert Downey Jr., Antonio Banderas, Michael Sheen, Emma Thompson, Rami Malek, John Cena, Kumail Nanjiani, Octavia Spencer, Tom Holland, Craig Robinson, Ralph Fiennes, Selena Gomez, Marion Cotillard","['Adventure', 'Fantasy']","Dolittle is a 2020 American fantasy adventure film directed by Stephen Gaghan from a screenplay by Gaghan, Dan Gregor, and Doug Mand, based on a story by Thomas Shepherd. Dolittle is based on the title character created by Hugh Lofting and is primarily inspired by the author's second Doctor Dolittle book, The Voyages of Doctor Dolittle (1922). Robert Downey Jr. stars as the title character, alongside Antonio Banderas and Michael Sheen in live-action roles, with Emma Thompson, Rami Malek, John Cena, Kumail Nanjiani, Octavia Spencer, Tom Holland, Craig Robinson, Ralph Fiennes, Selena Gomez, and Marion Cotillard voicing an array of creatures.",https://www.rottentomatoes.com/m/dolittle,"Released Jan 17, 2020",15.0,76.0,13,Medium
afallfromgrace,2020,"Crystal R. Fox, Phylicia Rashad, Bresha Webb, Mehcad Brooks, Cicely Tyson, Tyler Perry",['Thriller'],"A Fall from Grace is a 2020 American thriller film produced, written, and directed by Tyler Perry and his first to be released by Netflix. The film follows a woman who finds a dangerous new love and the novice attorney who defends her in a sensational court case. This was the final film of actor Cicely Tyson before her death in January 2021.",https://www.rottentomatoes.com/m/a_fall_from_grace,2019,20.0,,6,Medium
thegentlemen,2020,"Matthew McConaughey, Charlie Hunnam, Henry Golding, Michelle Dockery, Jeremy Strong, Eddie Marsan, Colin Farrell, Hugh Grant","['Action', 'Comedy']","The Gentlemen is a 2019 action comedy film written, directed and produced by Guy Ritchie, who developed the story along with Ivan Atkinson and Marn Davies. The film stars Matthew McConaughey, Charlie Hunnam, Henry Golding, Michelle Dockery, Jeremy Strong, Eddie Marsan, Colin Farrell, and Hugh Grant. It follows an American cannabis wholesaler in England who is looking to sell his business, setting off a chain of blackmail and schemes to undermine him.",https://www.rottentomatoes.com/m/the_gentlemen,"Released Jan 24, 2020",75.0,84.0,8,Medium
theturning,2020,"Mackenzie Davis, Finn Wolfhard, Brooklynn Prince, Joely Richardson","['Horror', 'Supernatural']","The Turning is a 2020 American gothic supernatural horror film directed by Floria Sigismondi and written by Carey W. Hayes and Chad Hayes. It is a modern adaptation of the 1898 ghost story The Turn of the Screw by Henry James. It stars Mackenzie Davis, Finn Wolfhard, Brooklynn Prince, and Joely Richardson, and follows a young governess in 1994 who is hired to watch over two children after their parents are killed.",https://www.rottentomatoes.com/m/the_turning,2013,86.0,54.0,4,Medium
theturning,2020,"Mackenzie Davis, Finn Wolfhard, Brooklynn Prince, Joely Richardson","['Horror', 'Supernatural']","The Turning is a 2020 American gothic supernatural horror film directed by Floria Sigismondi and written by Carey W. Hayes and Chad Hayes. It is a modern adaptation of the 1898 ghost story The Turn of the Screw by Henry James. It stars Mackenzie Davis, Finn Wolfhard, Brooklynn Prince, and Joely Richardson, and follows a young governess in 1994 who is hired to watch over two children after their parents are killed.",https://www.rottentomatoes.com/m/turning,1992,,0.0,4,Medium
thelastfullmeasure,2020,"Sebastian Stan, Christopher Plummer, William Hurt, Ed Harris, Samuel L. Jackson, Peter Fonda, LisaGay Hamilton, Jeremy Irvine, Diane Ladd, Amy Madigan, John Savage, Bradley Whitford","['Drama', 'War']","The Last Full Measure is a 2019 American war drama film written and directed by Todd Robinson. It follows the efforts of fictional Pentagon staffer Scott Huffman and many veterans to see the Medal of Honor awarded to William H. Pitsenbarger, a United States Air Force Pararescueman who flew in helicopter rescue missions during the Vietnam War to aid downed soldiers and pilots. Based on true events, the film stars Sebastian Stan, Christopher Plummer, William Hurt, Ed Harris, Samuel L. Jackson, Jeremy Irvine, and Peter Fonda. It was the final film appearance of Fonda, who died before the film’s release; and Plummer's final on screen appearance before his death in 2021, though it had filmed prior to Knives Out which was released before it.",https://www.rottentomatoes.com/m/the_last_full_measure,"Released Jan 24, 2020",61.0,96.0,12,Medium
therhythmsection,2020,"Blake Lively, Jude Law, Sterling K. Brown","['Action', 'Thriller']","The Rhythm Section is a 2020 action thriller film directed by Reed Morano and with a screenplay by Mark Burnell based on his novel of the same name. Starring Blake Lively, Jude Law and Sterling K. Brown, and follows a grieving woman who seeks revenge after discovering that the plane crash that killed her family was a terrorist attack.",https://www.rottentomatoes.com/m/the_rhythm_section,"Released Jan 31, 2020",29.0,44.0,3,Small
therhythmsection,2020,"Blake Lively, Jude Law, Sterling K. Brown","['Action', 'Thriller']","The Rhythm Section is a 2020 action thriller film directed by Reed Morano and with a screenplay by Mark Burnell based on his novel of the same name. Starring Blake Lively, Jude Law and Sterling K. Brown, and follows a grieving woman who seeks revenge after discovering that the plane crash that killed her family was a terrorist attack.",https://www.rottentomatoes.com/m/rhythm_section,"Released Jan 31, 2020",29.0,44.0,3,Small
gretelhansel,2020,"Sophia Lillis, Sammy Leakey, Charles Babalola, Jessica De Gouw, Alice Krige","['Fantasy', 'Horror']","Gretel & Hansel is a 2020 dark fantasy horror film based on the German folklore tale ""Hansel and Gretel"" by the Brothers Grimm. The film is directed by Oz Perkins, and produced by Fred Berger, Brian Kavanaugh-Jones, and Dan Kagan, with a screenplay by Rob Hayes. Sophia Lillis and Sam Leakey portray the titular characters, alongside Alice Krige and Jessica De Gouw. The story follows Gretel and Hansel as they enter the dark woods in order to find work and food, and then stumble upon the home of a witch.",https://www.rottentomatoes.com/m/gretel_and_hansel,"Released Jan 31, 2020",62.0,23.0,5,Medium
theassistant,2020,"Julia Garner, Matthew Macfadyen",['Drama'],"The Assistant is a 2019 American drama film written, directed, produced, and edited by Kitty Green. The film stars Julia Garner as a junior assistant at a film production company. Matthew Macfadyen, Makenzie Leigh, Kristine Froseth, Jon Orsini, and Noah Robbins also star.",https://www.rottentomatoes.com/m/the_assistant,1997,,,2,Small
theassistant,2020,"Julia Garner, Matthew Macfadyen",['Drama'],"The Assistant is a 2019 American drama film written, directed, produced, and edited by Kitty Green. The film stars Julia Garner as a junior assistant at a film production company. Matthew Macfadyen, Makenzie Leigh, Kristine Froseth, Jon Orsini, and Noah Robbins also star.",https://www.rottentomatoes.com/m/assistant,1997,,,2,Small
birdsofprey,2020,"Margot Robbie, Mary Elizabeth Winstead, Jurnee Smollett-Bell, Rosie Perez, Chris Messina, Ella Jay Basco, Ali Wong, Ewan McGregor",['Superhero'],"Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn), also known as Harley Quinn: Birds of Prey or simply Birds of Prey, is a 2020 American superhero film directed by Cathy Yan and written by Christina Hodson, based on the DC Comics team, the Birds of Prey. Produced by Warner Bros., DC Films, LuckyChap Entertainment, Clubhouse Pictures, and Kroll & Co. Entertainment, it is the eighth installment in the DC Extended Universe (DCEU), and serves as a spin-off and sequel to Suicide Squad (2016). It stars Margot Robbie as Harley Quinn alongside Mary Elizabeth Winstead, Jurnee Smollett-Bell, Rosie Perez, Chris Messina, Ella Jay Basco, Ali Wong, and Ewan McGregor. The film follows Harley Quinn, who, after breaking up with the Joker, is threatened by Gotham City crime lord Roman Sionis, and joins forces with Helena Bertinelli, Dinah Lance and Renee Montoya (who go on to form the Birds of Prey) to save Cassandra Cain.",https://www.rottentomatoes.com/m/birds_of_prey,1985,,,8,Medium
birdsofprey,2020,"Margot Robbie, Mary Elizabeth Winstead, Jurnee Smollett-Bell, Rosie Perez, Chris Messina, Ella Jay Basco, Ali Wong, Ewan McGregor",['Superhero'],"Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn), also known as Harley Quinn: Birds of Prey or simply Birds of Prey, is a 2020 American superhero film directed by Cathy Yan and written by Christina Hodson, based on the DC Comics team, the Birds of Prey. Produced by Warner Bros., DC Films, LuckyChap Entertainment, Clubhouse Pictures, and Kroll & Co. Entertainment, it is the eighth installment in the DC Extended Universe (DCEU), and serves as a spin-off and sequel to Suicide Squad (2016). It stars Margot Robbie as Harley Quinn alongside Mary Elizabeth Winstead, Jurnee Smollett-Bell, Rosie Perez, Chris Messina, Ella Jay Basco, Ali Wong, and Ewan McGregor. The film follows Harley Quinn, who, after breaking up with the Joker, is threatened by Gotham City crime lord Roman Sionis, and joins forces with Helena Bertinelli, Dinah Lance and Renee Montoya (who go on to form the Birds of Prey) to save Cassandra Cain.",https://www.rottentomatoes.com/m/birds_of_prey,1985,,,8,Medium
thelodge,2020,"Riley Keough, Jaeden Martell, Lia McHugh, Richard Armitage, Alicia Silverstone",['Horror'],"The Lodge is a 2019 psychological horror film directed by Veronika Franz and Severin Fiala, written by Franz, Fiala, and Sergio Casci, and starring Riley Keough, Jaeden Martell, Lia McHugh, Alicia Silverstone, and Richard Armitage. Its plot follows a soon-to-be stepmother who, alone with her fiancé's two children, becomes stranded at their rural lodge during Christmas. There, she and the children experience a number of unexplained events that seem to be connected to her past.",https://www.rottentomatoes.com/m/the_lodge,"Released Feb 7, 2020",75.0,51.0,5,Medium
thelodge,2020,"Riley Keough, Jaeden Martell, Lia McHugh, Richard Armitage, Alicia Silverstone",['Horror'],"The Lodge is a 2019 psychological horror film directed by Veronika Franz and Severin Fiala, written by Franz, Fiala, and Sergio Casci, and starring Riley Keough, Jaeden Martell, Lia McHugh, Alicia Silverstone, and Richard Armitage. Its plot follows a soon-to-be stepmother who, alone with her fiancé's two children, becomes stranded at their rural lodge during Christmas. There, she and the children experience a number of unexplained events that seem to be connected to her past.",https://www.rottentomatoes.com/m/lodge,2008,,13.0,5,Medium
timmyfailuremistakesweremade,2020,"Winslow Fegley, Ophelia Lovibond, Craig Robinson, Wallace Shawn","['Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']","Timmy Failure: Mistakes Were Made is a 2020 American adventure fantasy comedy-drama family film based on the book series of the same name by Stephan Pastis that debuted on Disney+ on February 7, 2020. The film is directed by Tom McCarthy, produced by Alexander Dostal, McCarthy and Jim Whitaker from a screenplay written by McCarthy and Pastis and stars Winslow Fegley, Ophelia Lovibond, Craig Robinson and Wallace Shawn.",https://www.rottentomatoes.com/m/timmy_failure_mistakes_were_made,2020,85.0,60.0,4,Medium
horsegirl,2020,"Alison Brie, Debby Ryan, John Paul Reynolds, Molly Shannon, John Ortiz, Paul Reiser",['Drama'],"Horse Girl is a 2020 American psychological drama film directed and produced by Jeff Baena, from a screenplay written by Baena and Alison Brie. It stars Brie, Debby Ryan, John Reynolds, Molly Shannon, John Ortiz, and Paul Reiser.",https://www.rottentomatoes.com/m/horse_girl,2020,71.0,48.0,6,Medium
toalltheboyspsistillloveyou,2020,"Lana Condor, Noah Centineo, Jordan Fisher, Anna Cathcart, John Corbett","['Comedy', 'Teen', 'Romance']","To All the Boys: P.S. I Still Love You is a 2020 American teen romantic comedy film directed by Michael Fimognari and written by Sofia Alvarez and J. Mills Goodloe. The film stars Lana Condor, Noah Centineo, Janel Parrish, Anna Cathcart, Trezzo Mahoro, Madeleine Arthur, Emilija Baranac, Kelcey Mawema, Jordan Fisher, Ross Butler, Julie Tao, Sarayu Blue, John Corbett, and Holland Taylor. The film is based on Jenny Han's 2015 novel P.S. I Still Love You.",https://www.rottentomatoes.com/m/to_all_the_boys_ps_i_still_love_you,2020,77.0,41.0,5,Medium
sonicthehedgehog,2020,"James Marsden, Ben Schwartz, Tika Sumpter, Natasha Rothwell, Adam Pally, Neal McDonough, Jim Carrey","['Action', 'Adventure', 'Comedy']","Sonic the Hedgehog is a 2020 action-adventure comedy film based on the video game series published by Sega. Directed by Jeff Fowler and written by Pat Casey and Josh Miller, it stars Ben Schwartz as the voice of Sonic the Hedgehog, alongside Jim Carrey and James Marsden, with supporting roles by Tika Sumpter, Natasha Rothwell, Adam Pally, Lee Majdoub and Neal McDonough. The film follows Sonic, a blue anthropomorphic hedgehog who can run at supersonic speeds. He teams up with a town sheriff, Tom Wachowski (Marsden), to stop the mad scientist Dr. Robotnik (Carrey).",https://www.rottentomatoes.com/m/sonic_the_hedgehog,2020,,90.0,7,Medium
sonicthehedgehog,2020,"James Marsden, Ben Schwartz, Tika Sumpter, Natasha Rothwell, Adam Pally, Neal McDonough, Jim Carrey","['Action', 'Adventure', 'Comedy']","Sonic the Hedgehog is a 2020 action-adventure comedy film based on the video game series published by Sega. Directed by Jeff Fowler and written by Pat Casey and Josh Miller, it stars Ben Schwartz as the voice of Sonic the Hedgehog, alongside Jim Carrey and James Marsden, with supporting roles by Tika Sumpter, Natasha Rothwell, Adam Pally, Lee Majdoub and Neal McDonough. The film follows Sonic, a blue anthropomorphic hedgehog who can run at supersonic speeds. He teams up with a town sheriff, Tom Wachowski (Marsden), to stop the mad scientist Dr. Robotnik (Carrey).",https://www.rottentomatoes.com/m/sonic_the_hedgehog,2020,,90.0,7,Medium
fantasyisland,2020,"Michael Peña, Maggie Q, Lucy Hale, Austin Stowell, Portia Doubleday, Jimmy O. Yang, Ryan Hansen, Michael Rooker","['Horror', 'Supernatural']","Fantasy Island, also known as Blumhouse's Fantasy Island, is a 2020 American supernatural horror film directed and co-written by Jeff Wadlow. Serving both as a horror reimagining and a prequel to ABC's 1977 television series of the same name, it stars Michael Peña, Maggie Q, Lucy Hale, Austin Stowell, Jimmy O. Yang, Ryan Hansen, Portia Doubleday, and Michael Rooker and follows a group of people who, while visiting the eponymous island, discover that their dream-like fantasies brought to life begin to turn into horrific living nightmares and they must try to survive.",https://www.rottentomatoes.com/m/fantasy_island,1977,,82.0,8,Medium
thephotograph,2020,"Issa Rae, Lakeith Stanfield, Chelsea Peretti, Lil Rel Howery, Courtney B. Vance","['Drama', 'Romance']","The Photograph is a 2020 American romantic drama film written and directed by Stella Meghie. It follows the estranged daughter of a famous photographer who falls in love with the journalist who is investigating her late mother's life. Chelsea Peretti, Lil Rel Howery and Courtney B. Vance also star.",https://www.rottentomatoes.com/m/the_photograph,2007,,60.0,5,Medium
downhill,2020,"Julia Louis-Dreyfus, Will Ferrell, Miranda Otto, Zoë Chao, Zach Woods","['Comedy', 'Drama']","Downhill is a 2020 American black comedy-drama film directed by Nat Faxon and Jim Rash, who also co-wrote the script with Jesse Armstrong. The film is a remake of Force Majeure (2014) by Swedish director Ruben Östlund. It stars Julia Louis-Dreyfus and Will Ferrell as a married couple going through a rough patch after a near-death encounter during a family ski outing.",https://www.rottentomatoes.com/m/downhill,2014,89.0,62.0,5,Medium
spyintervention,2020,"Drew Van Acker, Poppy Delevingne, Natasha Bassett, Max Silvestri, Brittany Furlan, Blake Anderson","['Action', 'Comedy', 'Spy']","Spy Intervention is a 2020 American action comedy spy film directed by Drew Mylrea and written by Mark Famiglietti and Lane Garrison. The film stars Drew Van Acker, Poppy Delevingne and Blake Anderson.",https://www.rottentomatoes.com/m/spy_intervention,"Released Feb 14, 2020",33.0,48.0,6,Medium
thecallofthewild,2020,"Harrison Ford, Omar Sy, Cara Gee, Dan Stevens, Karen Gillan, Bradley Whitford",['Adventure'],"The Call of the Wild is a 2020 American adventure film based on Jack London's 1903 novel of the same name. Directed by Chris Sanders, in his live-action directorial debut, and his first film without a co-director, the film was written by Michael Green, and stars Harrison Ford, Omar Sy, Cara Gee, Dan Stevens, Karen Gillan, and Bradley Whitford. Set during the 1890s Klondike Gold Rush, the film follows a dog named Buck as he is stolen from his home in California and sent to the Yukon, where he befriends an old outdoorsman and begins a life-altering adventure.",https://www.rottentomatoes.com/m/the_call_of_the_wild,1908,,,6,Medium
thecallofthewild,2020,"Harrison Ford, Omar Sy, Cara Gee, Dan Stevens, Karen Gillan, Bradley Whitford",['Adventure'],"The Call of the Wild is a 2020 American adventure film based on Jack London's 1903 novel of the same name. Directed by Chris Sanders, in his live-action directorial debut, and his first film without a co-director, the film was written by Michael Green, and stars Harrison Ford, Omar Sy, Cara Gee, Dan Stevens, Karen Gillan, and Bradley Whitford. Set during the 1890s Klondike Gold Rush, the film follows a dog named Buck as he is stolen from his home in California and sent to the Yukon, where he befriends an old outdoorsman and begins a life-altering adventure.",https://www.rottentomatoes.com/m/the_call_of_the_wild,1908,,,6,Medium
thelastthinghewanted,2020,"Anne Hathaway, Ben Affleck, Rosie Perez, Edi Gathegi, Mel Rodriguez, Toby Jones, Willem Dafoe","['Political', 'Thriller']","The Last Thing He Wanted is a 2020 political thriller film directed by Dee Rees, based on the 1996 novel of the same name by Joan Didion, from a screenplay by Rees and Marco Villalobos. The film stars Anne Hathaway, Ben Affleck, Rosie Perez, Edi Gathegi, Mel Rodriguez, Toby Jones, and Willem Dafoe.",https://www.rottentomatoes.com/m/the_last_thing_he_wanted,"Released Feb 21, 2020",5.0,14.0,7,Medium
brahmstheboyii,2020,"Katie Holmes, Owain Yeoman, Christopher Convery, Ralph Ineson","['Horror', 'Supernatural']","Brahms: The Boy II is a 2020 American supernatural horror film starring Katie Holmes, Ralph Ineson, Christopher Convery and Owain Yeoman. A sequel to the 2016 film The Boy, it is directed by William Brent Bell and written by Stacey Menear, the respective director and writer of the original film.",https://www.rottentomatoes.com/m/brahms_the_boy_ii,"Released Feb 21, 2020",11.0,44.0,4,Medium
thenightclerk,2020,"Tye Sheridan, Ana de Armas, Helen Hunt, John Leguizamo","['Crime', 'Drama']","The Night Clerk is a 2020 American crime drama film, written and directed by Michael Cristofer. It stars Tye Sheridan, Ana de Armas, John Leguizamo and Helen Hunt, and follows a hotel night clerk who becomes the center of a murder investigation. The film was released on February 21, 2020, by Saban Films. On June 6, 2020, Netflix released the film on its platform. The film has received negative reviews from critics who criticized it for its lackluster story, deriative, and undeveloped characters; however, Sheridan's performance did receive praise.",https://www.rottentomatoes.com/m/the_night_clerk,2010,,49.0,4,Medium
impracticaljokersthemovie,2020,"Brian Quinn, Joe Gatto, Sal Vulcano, James Murray, Paula Abdul",['Comedy'],"Impractical Jokers: The Movie is a 2020 American reality comedy film directed by Chris Henchy, based on the truTV television series Impractical Jokers. The film stars Brian Quinn, James Murray, Sal Vulcano, and Joe Gatto, also known as The Tenderloins. It was theatrically released on February 21, 2020. The film received generally mixed reviews and was a box office success, grossing $10 million against a budget of $3 million.",https://www.rottentomatoes.com/m/impractical_jokers_the_movie,"Released Feb 28, 2020",35.0,76.0,5,Medium
theinvisibleman,2020,"Elisabeth Moss, Aldis Hodge, Storm Reid, Harriet Dyer, Michael Dorman, Oliver Jackson-Cohen","['Horror', 'Science Fiction']","The Invisible Man is a 2020 science fiction horror film written and directed by Leigh Whannell. Inspired by H. G. Wells' novel of the same name, it stars Elisabeth Moss as a woman who believes she is being stalked and gaslit by her seemingly deceased ex-boyfriend after he acquires the ability to become invisible. Aldis Hodge, Storm Reid, Harriet Dyer, and Michael Dorman appear in supporting roles.",https://www.rottentomatoes.com/m/the_invisible_man,1975,,,6,Medium
theinvisibleman,2020,"Elisabeth Moss, Aldis Hodge, Storm Reid, Harriet Dyer, Michael Dorman, Oliver Jackson-Cohen","['Horror', 'Science Fiction']","The Invisible Man is a 2020 science fiction horror film written and directed by Leigh Whannell. Inspired by H. G. Wells' novel of the same name, it stars Elisabeth Moss as a woman who believes she is being stalked and gaslit by her seemingly deceased ex-boyfriend after he acquires the ability to become invisible. Aldis Hodge, Storm Reid, Harriet Dyer, and Michael Dorman appear in supporting roles.",https://www.rottentomatoes.com/m/the_invisible_man,1975,,,6,Medium
